               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088954,            0.032032,            0.025779,             0.38837,             0.45615,             0.39356,             0.19272,            0.040493,            0.013434,            0.013898,            0.070375,           0.0032917,           0.0032917
                   1,            0.062391,              0.0291,            0.013826,             0.58772,               0.525,             0.56427,             0.20784,            0.040117,            0.009052,            0.006691,            0.040364,           0.0066141,           0.0066141
                   2,            0.058188,            0.024537,           0.0087933,             0.59006,                 0.5,             0.55877,             0.29048,            0.031514,           0.0082228,            0.002697,            0.010342,           0.0099255,           0.0099255
                   3,            0.053726,            0.023599,           0.0070498,             0.74984,             0.58915,             0.73288,             0.33457,            0.028983,           0.0084484,           0.0024506,           0.0099505,           0.0099505,           0.0099505
                   4,            0.049042,            0.023213,           0.0080545,               0.583,              0.7625,             0.65631,              0.3341,            0.030625,           0.0083907,           0.0040047,           0.0099505,           0.0099505,           0.0099505
                   5,            0.047101,            0.022857,            0.008064,             0.72518,                 0.7,             0.72776,              0.3915,            0.025034,           0.0081267,            0.004364,            0.009934,            0.009934,            0.009934
                   6,            0.045928,            0.022283,           0.0074997,             0.84593,              0.8125,              0.8288,             0.44985,            0.024459,           0.0085645,             0.00252,           0.0099175,           0.0099175,           0.0099175
                   7,            0.044228,            0.022961,           0.0060878,             0.61174,                0.65,              0.6012,             0.29724,            0.025812,           0.0085166,           0.0046677,            0.009901,            0.009901,            0.009901
                   8,            0.043796,            0.022721,           0.0078692,             0.82375,             0.74157,             0.78425,             0.40965,            0.023522,           0.0081687,            0.011156,           0.0098845,           0.0098845,           0.0098845
                   9,            0.042024,             0.02281,           0.0061596,             0.75786,             0.85573,             0.80517,             0.45376,             0.02324,           0.0073769,           0.0020737,            0.009868,            0.009868,            0.009868
                  10,            0.040818,            0.023327,            0.007225,             0.80153,             0.75177,             0.82756,             0.39962,            0.027407,           0.0079343,           0.0021736,           0.0098515,           0.0098515,           0.0098515
                  11,            0.041777,            0.022351,           0.0050206,              0.9236,              0.8125,             0.88919,             0.51253,             0.02382,           0.0073287,           0.0090073,            0.009835,            0.009835,            0.009835
                  12,            0.040954,            0.020932,           0.0066331,             0.96491,               0.825,             0.91836,             0.48101,            0.022711,           0.0072746,           0.0015381,           0.0098185,           0.0098185,           0.0098185
                  13,            0.039131,            0.021416,           0.0052797,             0.97153,             0.69108,             0.79677,             0.51492,            0.022606,           0.0080683,           0.0018879,            0.009802,            0.009802,            0.009802
                  14,            0.040011,            0.022185,           0.0058284,             0.93249,              0.6875,             0.78715,             0.52272,            0.021336,           0.0082483,           0.0011337,           0.0097855,           0.0097855,           0.0097855
                  15,            0.038933,            0.021371,           0.0059523,                   1,              0.7881,             0.91198,             0.47204,            0.022916,           0.0081651,           0.0068878,            0.009769,            0.009769,            0.009769
                  16,            0.037795,            0.019777,           0.0042395,             0.82839,             0.82105,             0.85642,             0.53823,            0.023497,           0.0071774,           0.0013489,           0.0097525,           0.0097525,           0.0097525
                  17,            0.039755,            0.021592,           0.0056219,             0.97752,             0.81194,             0.88499,             0.43936,            0.022418,           0.0077107,           0.0025257,            0.009736,            0.009736,            0.009736
                  18,            0.037952,            0.020686,           0.0043022,             0.93254,             0.80489,              0.8701,             0.52337,            0.021417,           0.0084455,           0.0015057,           0.0097195,           0.0097195,           0.0097195
                  19,            0.037496,            0.020603,           0.0047785,              0.8863,             0.75505,             0.86943,             0.50578,            0.023494,           0.0072846,           0.0023087,            0.009703,            0.009703,            0.009703
                  20,            0.036594,            0.020336,           0.0042318,             0.90033,             0.79002,             0.82738,             0.44914,            0.025519,           0.0080783,           0.0010738,           0.0096865,           0.0096865,           0.0096865
                  21,            0.038852,            0.021142,           0.0045899,             0.98839,             0.80354,             0.93286,             0.54956,            0.021436,           0.0068338,           0.0013624,             0.00967,             0.00967,             0.00967
                  22,            0.035627,            0.020229,           0.0066453,             0.91405,             0.77842,             0.87201,             0.56292,             0.02104,           0.0071568,           0.0015852,           0.0096535,           0.0096535,           0.0096535
                  23,              0.0371,            0.020384,           0.0051427,             0.87947,              0.8125,             0.87952,             0.54675,            0.023083,           0.0066383,           0.0034809,            0.009637,            0.009637,            0.009637
                  24,            0.037525,            0.020873,           0.0043943,             0.96408,               0.875,             0.88248,             0.54827,            0.022409,           0.0074809,           0.0011068,           0.0096205,           0.0096205,           0.0096205
                  25,            0.037811,            0.020347,           0.0043549,              0.8961,               0.875,             0.89349,             0.55192,            0.021709,           0.0079985,            0.001288,            0.009604,            0.009604,            0.009604
                  26,            0.036928,            0.020562,           0.0042742,             0.95277,             0.80081,               0.866,             0.54654,            0.023315,            0.007514,          0.00087795,           0.0095875,           0.0095875,           0.0095875
                  27,            0.036278,            0.020277,           0.0053653,             0.98333,              0.7625,             0.85681,             0.52776,             0.02478,           0.0084488,           0.0018562,            0.009571,            0.009571,            0.009571
