               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10008,            0.031274,            0.027201,            0.089079,             0.22917,             0.10904,            0.040523,            0.080158,            0.022403,              0.0245,            0.070556,           0.0032716,           0.0032716
                   1,            0.072744,             0.02854,            0.017878,             0.74419,             0.20882,             0.25429,            0.075773,            0.067107,            0.015852,            0.018918,            0.040545,            0.006594,            0.006594
                   2,            0.066857,            0.024101,            0.011904,             0.43172,             0.54792,             0.54143,              0.3046,            0.054302,            0.012917,             0.01341,            0.010523,           0.0099055,           0.0099055
                   3,            0.062644,            0.024106,           0.0095797,             0.45433,              0.7193,             0.71485,             0.25611,            0.055225,            0.010965,           0.0070534,           0.0099505,           0.0099505,           0.0099505
                   4,            0.056646,            0.022756,           0.0071441,              0.5397,             0.82803,             0.69853,             0.33837,             0.03971,            0.010687,           0.0060479,           0.0099505,           0.0099505,           0.0099505
                   5,            0.051631,            0.020325,           0.0062008,             0.49338,             0.61667,             0.58563,             0.31915,            0.047764,           0.0097063,           0.0050943,            0.009934,            0.009934,            0.009934
                   6,            0.048567,            0.020197,           0.0060702,             0.75547,             0.70763,             0.84166,             0.43116,            0.038367,           0.0094103,           0.0054266,           0.0099175,           0.0099175,           0.0099175
                   7,            0.045733,            0.018711,           0.0073106,             0.70743,             0.87083,             0.85019,              0.5005,            0.033498,           0.0092872,           0.0053142,            0.009901,            0.009901,            0.009901
                   8,             0.04381,            0.020113,           0.0063354,             0.62797,             0.81042,              0.7015,             0.39318,            0.038756,            0.010526,           0.0031471,           0.0098845,           0.0098845,           0.0098845
                   9,            0.041603,            0.019046,           0.0051938,             0.77584,              0.7793,             0.86469,             0.41177,            0.036877,           0.0092921,           0.0047204,            0.009868,            0.009868,            0.009868
                  10,            0.042401,            0.019224,            0.004608,             0.82912,             0.76938,              0.9086,             0.53655,            0.032503,           0.0086799,           0.0030345,           0.0098515,           0.0098515,           0.0098515
                  11,            0.040047,            0.018747,           0.0050763,             0.79403,             0.70108,             0.82386,             0.47385,            0.032087,           0.0090556,            0.011866,            0.009835,            0.009835,            0.009835
                  12,            0.038172,            0.017388,           0.0028514,             0.85201,             0.84966,             0.93335,             0.64435,             0.02933,           0.0084101,           0.0027149,           0.0098185,           0.0098185,           0.0098185
                  13,            0.038527,            0.018292,           0.0041797,             0.85484,             0.75458,             0.88804,             0.59086,             0.02691,           0.0088655,           0.0059986,            0.009802,            0.009802,            0.009802
                  14,            0.037387,            0.017766,           0.0043426,             0.84612,             0.76355,             0.89702,             0.61084,            0.028301,           0.0088862,            0.003017,           0.0097855,           0.0097855,           0.0097855
                  15,            0.038192,            0.017727,           0.0038717,             0.83498,             0.80342,             0.91148,             0.61435,            0.027917,           0.0089081,           0.0030741,            0.009769,            0.009769,            0.009769
                  16,            0.036394,            0.016952,           0.0032737,             0.88143,             0.77708,             0.91504,             0.63317,            0.029332,           0.0084518,           0.0075329,           0.0097525,           0.0097525,           0.0097525
                  17,             0.03799,            0.017928,            0.003815,             0.89107,             0.89167,             0.94347,             0.61742,            0.027884,           0.0078224,           0.0045788,            0.009736,            0.009736,            0.009736
                  18,            0.036335,            0.017297,           0.0035139,             0.91363,             0.80793,             0.95059,             0.62004,            0.026847,           0.0081508,           0.0025472,           0.0097195,           0.0097195,           0.0097195
                  19,            0.036146,            0.017382,           0.0030429,             0.84749,             0.80563,             0.93221,             0.57737,            0.028783,           0.0082383,           0.0024029,            0.009703,            0.009703,            0.009703
                  20,            0.032961,            0.018149,           0.0041569,             0.69912,               0.875,             0.86231,             0.51604,            0.028408,            0.008453,           0.0036215,           0.0096865,           0.0096865,           0.0096865
                  21,            0.033859,            0.017085,           0.0026581,             0.88722,             0.74515,             0.90551,             0.55025,            0.031057,           0.0080297,           0.0044597,             0.00967,             0.00967,             0.00967
                  22,            0.034481,             0.01698,           0.0022103,              0.8131,             0.82153,             0.88477,             0.60948,            0.027493,           0.0079779,           0.0050542,           0.0096535,           0.0096535,           0.0096535
