               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088954,            0.032032,            0.025779,             0.38837,             0.45615,             0.39356,             0.19272,            0.040493,            0.013434,            0.013898,            0.070375,           0.0032917,           0.0032917
                   1,            0.062348,            0.029134,            0.013792,             0.54539,             0.52547,             0.48942,             0.23803,            0.042299,           0.0078287,           0.0086014,            0.040309,           0.0065594,           0.0065594
                   2,            0.058748,            0.024449,           0.0091898,             0.65754,             0.47782,             0.55525,             0.19491,            0.032133,           0.0088432,           0.0033501,            0.010178,           0.0097612,           0.0097612
                   3,            0.053613,            0.023847,           0.0081693,             0.78031,               0.675,             0.71918,             0.27265,            0.031844,           0.0074501,           0.0020256,            0.009703,            0.009703,            0.009703
                   4,            0.049698,            0.023478,           0.0085934,             0.62132,             0.67357,             0.69235,             0.23843,            0.030166,           0.0091939,           0.0030319,            0.009703,            0.009703,            0.009703
                   5,            0.046563,            0.022891,           0.0080342,             0.79842,              0.7625,             0.79257,             0.41301,            0.025331,           0.0081565,           0.0049583,            0.009604,            0.009604,            0.009604
                   6,            0.046343,            0.022132,           0.0075001,             0.89544,             0.72217,             0.77138,             0.39543,            0.023205,           0.0089345,           0.0030144,            0.009505,            0.009505,            0.009505
                   7,            0.044193,            0.022688,            0.005894,             0.80415,              0.7396,             0.87403,             0.48865,            0.025469,           0.0079331,           0.0018013,            0.009406,            0.009406,            0.009406
                   8,            0.042064,            0.022244,           0.0066655,             0.73523,             0.68837,              0.7647,             0.41894,            0.022991,           0.0074875,           0.0025764,            0.009307,            0.009307,            0.009307
                   9,            0.040672,            0.022482,           0.0056978,             0.76137,             0.62938,             0.69629,             0.38176,             0.02851,           0.0083833,           0.0036331,            0.009208,            0.009208,            0.009208
                  10,            0.039751,            0.023151,           0.0067488,             0.81568,               0.705,              0.7826,              0.3995,            0.028445,           0.0076323,           0.0012939,            0.009109,            0.009109,            0.009109
                  11,            0.040346,            0.022018,           0.0048819,             0.98517,             0.77362,             0.88514,             0.54028,            0.022378,           0.0069349,           0.0018139,             0.00901,             0.00901,             0.00901
                  12,            0.039825,            0.020563,           0.0061677,              0.9803,             0.80041,             0.83892,             0.52694,             0.02542,           0.0077319,           0.0017048,            0.008911,            0.008911,            0.008911
                  13,            0.038127,            0.021169,           0.0052931,             0.92215,              0.7827,             0.87059,             0.52523,            0.023654,            0.007869,            0.001815,            0.008812,            0.008812,            0.008812
                  14,            0.039227,            0.021811,           0.0050134,             0.75914,              0.7237,             0.76888,             0.47352,            0.022759,           0.0079157,           0.0010521,            0.008713,            0.008713,            0.008713
                  15,            0.037903,            0.021064,           0.0054844,             0.97134,             0.79591,              0.8803,             0.51802,            0.026263,            0.007817,           0.0034332,            0.008614,            0.008614,            0.008614
                  16,            0.037625,            0.019555,           0.0044068,             0.90133,             0.85845,             0.87773,             0.51783,            0.020957,           0.0074947,           0.0022186,            0.008515,            0.008515,            0.008515
                  17,            0.038407,            0.021471,           0.0053579,             0.95695,              0.8978,             0.95155,             0.55937,            0.021255,           0.0070124,          0.00086136,            0.008416,            0.008416,            0.008416
                  18,             0.03729,            0.020561,           0.0045186,             0.93297,               0.875,             0.91748,             0.53156,            0.020412,           0.0077381,           0.0020645,            0.008317,            0.008317,            0.008317
                  19,            0.037045,            0.020491,           0.0039238,             0.85471,             0.79885,             0.84914,             0.55116,            0.025074,           0.0078363,           0.0030083,            0.008218,            0.008218,            0.008218
                  20,             0.03564,            0.019982,            0.003769,             0.96467,             0.80016,             0.88774,             0.54318,            0.021844,           0.0079186,           0.0011662,            0.008119,            0.008119,            0.008119
                  21,            0.038004,            0.020983,           0.0037883,             0.98376,              0.8125,             0.90542,             0.56169,            0.022036,           0.0075579,           0.0028069,             0.00802,             0.00802,             0.00802
                  22,            0.034402,            0.019664,           0.0059498,             0.89978,              0.8125,              0.9135,             0.61185,             0.01936,           0.0075338,           0.0016796,            0.007921,            0.007921,            0.007921
                  23,            0.036034,            0.020053,           0.0055205,             0.96559,             0.79866,             0.85326,             0.57414,            0.023484,           0.0078895,           0.0013264,            0.007822,            0.007822,            0.007822
                  24,            0.036603,            0.020506,           0.0040528,             0.87128,               0.875,             0.87513,             0.53526,            0.019901,           0.0074112,           0.0017933,            0.007723,            0.007723,            0.007723
                  25,            0.036653,            0.019974,           0.0039835,             0.84616,              0.8125,             0.89931,             0.54733,            0.019813,           0.0078654,          0.00081615,            0.007624,            0.007624,            0.007624
                  26,            0.035784,            0.020038,           0.0038309,             0.94411,             0.86477,             0.89268,             0.56673,            0.021703,           0.0082002,           0.0010687,            0.007525,            0.007525,            0.007525
                  27,             0.03492,             0.01977,            0.004234,             0.92733,             0.86298,             0.87715,              0.5722,            0.022464,           0.0080085,           0.0023064,            0.007426,            0.007426,            0.007426
                  28,            0.034993,            0.020236,           0.0047079,             0.91102,             0.86741,             0.92227,             0.56225,            0.021898,           0.0077162,          0.00027342,            0.007327,            0.007327,            0.007327
                  29,            0.034026,            0.020222,             0.00425,             0.88482,               0.875,             0.88306,              0.6068,            0.020202,           0.0078864,           0.0010311,            0.007228,            0.007228,            0.007228
                  30,            0.034495,             0.01952,           0.0046575,             0.93921,              0.8125,             0.85579,             0.57138,            0.023001,            0.007966,           0.0014587,            0.007129,            0.007129,            0.007129
                  31,            0.035405,            0.020227,           0.0036963,               0.943,              0.8125,             0.87471,             0.60088,            0.022528,           0.0084453,          0.00065479,             0.00703,             0.00703,             0.00703
                  32,            0.034753,            0.019626,           0.0040906,              0.9645,              0.7921,             0.89506,             0.55933,            0.024937,           0.0084934,           0.0022831,            0.006931,            0.006931,            0.006931
                  33,            0.033799,            0.019062,           0.0037602,              0.9581,             0.85801,             0.90571,             0.54649,            0.023858,           0.0082579,           0.0033913,            0.006832,            0.006832,            0.006832
                  34,             0.03486,            0.019554,           0.0040241,             0.99222,             0.87062,             0.91813,             0.59228,            0.023105,           0.0080717,           0.0019663,            0.006733,            0.006733,            0.006733
                  35,            0.032329,            0.018341,           0.0038609,             0.97832,              0.8652,             0.91731,             0.56856,            0.020848,           0.0077279,           0.0014582,            0.006634,            0.006634,            0.006634
                  36,            0.033405,            0.018861,           0.0035838,             0.94076,             0.85916,             0.89076,             0.57869,            0.021119,           0.0078967,           0.0040867,            0.006535,            0.006535,            0.006535
                  37,            0.033735,            0.019488,           0.0033814,             0.96636,             0.86598,             0.88346,             0.56107,            0.022551,           0.0087187,           0.0019917,            0.006436,            0.006436,            0.006436
                  38,            0.033804,            0.018846,           0.0030918,             0.97876,             0.86754,             0.90693,             0.58197,            0.023731,           0.0081201,             0.00105,            0.006337,            0.006337,            0.006337
                  39,            0.033261,            0.019554,           0.0041166,             0.93343,             0.86699,             0.91177,             0.57992,            0.021075,           0.0085227,          0.00088387,            0.006238,            0.006238,            0.006238
                  40,            0.032584,            0.019036,           0.0036122,             0.98875,             0.82383,             0.89785,             0.59904,            0.020988,           0.0083761,          0.00091343,            0.006139,            0.006139,            0.006139
                  41,            0.032212,            0.019087,            0.003561,             0.96726,               0.875,             0.88641,             0.56679,            0.021671,           0.0080173,            0.001424,             0.00604,             0.00604,             0.00604
                  42,            0.032442,            0.018942,           0.0038643,             0.85766,               0.875,             0.88586,             0.58466,            0.021059,           0.0080926,            0.001148,            0.005941,            0.005941,            0.005941
                  43,            0.033575,            0.019495,           0.0037383,             0.92826,               0.875,             0.88026,             0.59127,            0.020912,           0.0087578,           0.0022461,            0.005842,            0.005842,            0.005842
                  44,            0.032495,            0.018788,           0.0037009,             0.92236,             0.86743,             0.88462,             0.56071,             0.02055,           0.0086474,           0.0022655,            0.005743,            0.005743,            0.005743
                  45,            0.032278,            0.018257,           0.0040146,             0.95742,             0.87119,             0.89685,             0.57054,            0.021296,           0.0087047,           0.0029087,            0.005644,            0.005644,            0.005644
                  46,            0.032879,            0.018438,           0.0032438,              0.9671,             0.80379,             0.87597,             0.56826,            0.022314,           0.0089278,           0.0027489,            0.005545,            0.005545,            0.005545
                  47,            0.031273,            0.019091,           0.0033673,             0.94745,             0.86198,              0.8847,             0.61054,            0.021807,           0.0085309,           0.0033936,            0.005446,            0.005446,            0.005446
                  48,            0.031045,            0.017742,           0.0035829,             0.97007,             0.86843,             0.89149,             0.62339,            0.019923,           0.0083029,           0.0018471,            0.005347,            0.005347,            0.005347
                  49,            0.030915,            0.018398,           0.0024839,             0.94265,               0.875,             0.87622,             0.60812,            0.019637,           0.0078115,           0.0012014,            0.005248,            0.005248,            0.005248
                  50,             0.03068,            0.017704,           0.0027503,             0.98414,               0.875,             0.87886,             0.57588,            0.019947,           0.0082741,            0.001222,            0.005149,            0.005149,            0.005149
                  51,              0.0311,            0.019204,           0.0025286,             0.90226,             0.86594,             0.89731,             0.60468,            0.018769,           0.0089483,           0.0017788,             0.00505,             0.00505,             0.00505
                  52,            0.030854,            0.018251,            0.003271,             0.95709,              0.8682,             0.90125,             0.62993,            0.019807,           0.0077455,           0.0086445,            0.004951,            0.004951,            0.004951
                  53,             0.03122,            0.018485,           0.0031891,             0.92638,               0.875,             0.89206,             0.60954,            0.021381,           0.0078678,           0.0036362,            0.004852,            0.004852,            0.004852
                  54,            0.031056,             0.01836,           0.0024114,             0.94766,             0.87058,             0.87255,             0.59165,            0.021414,           0.0081918,            0.004306,            0.004753,            0.004753,            0.004753
                  55,            0.030922,            0.017384,           0.0039109,             0.97721,               0.875,             0.89298,             0.58154,             0.02038,           0.0086048,           0.0014204,            0.004654,            0.004654,            0.004654
                  56,            0.031083,            0.017891,           0.0032145,             0.93782,               0.875,             0.88912,             0.59007,            0.021626,           0.0080853,           0.0037748,            0.004555,            0.004555,            0.004555
                  57,            0.030602,            0.018414,           0.0033403,             0.93742,             0.87246,             0.85494,             0.57546,            0.021627,            0.008178,           0.0043392,            0.004456,            0.004456,            0.004456
                  58,            0.030553,            0.017907,           0.0031023,             0.94066,             0.87243,             0.86841,             0.60324,            0.021928,           0.0083725,           0.0039333,            0.004357,            0.004357,            0.004357
                  59,            0.030224,            0.017372,           0.0027258,             0.92435,             0.86833,             0.87886,             0.61313,             0.02026,           0.0084217,           0.0034119,            0.004258,            0.004258,            0.004258
                  60,            0.030794,            0.017994,           0.0021132,             0.93994,               0.875,             0.87693,             0.59749,            0.020967,           0.0077221,           0.0028193,            0.004159,            0.004159,            0.004159
                  61,            0.029174,            0.016911,           0.0022904,             0.93875,               0.875,             0.86849,             0.60283,            0.020314,           0.0085039,           0.0030787,             0.00406,             0.00406,             0.00406
