                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12709,                  0.171,               0.026417,                0.03463,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.13876,                0.10187,               0.015385,               0.051465,                 0.0964,                 0.0004,                 0.0004
                      1,                0.12836,                0.13962,               0.025259,               0.035092,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                0.13406,               0.071575,               0.016172,               0.047986,               0.091899,             0.00089911,             0.00089911
                      2,                0.12537,               0.098168,               0.026037,               0.032979,             0.00044723,                 0.0625,             0.00027096,             5.4191e-05,             0.00063211,                    0.5,              0.0023153,              0.0012489,                0.12531,               0.052962,                0.01651,               0.053534,               0.087397,              0.0013972,              0.0013972
                      3,                0.11513,               0.071612,                0.02738,               0.030466,              0.0023476,                 0.5625,              0.0050343,              0.0023073,             0.00034435,                   0.25,             0.00081575,             0.00024473,                0.10609,               0.036895,               0.017996,               0.039154,               0.082894,              0.0018944,              0.0018944
                      4,                0.11129,                0.05728,               0.026688,               0.028859,               0.003677,                 0.8125,               0.039975,               0.008729,              0.0024159,                 0.6875,                0.18617,               0.089216,               0.091787,               0.025618,               0.019224,               0.027808,                0.07839,              0.0023905,              0.0023905
                      5,               0.098979,               0.040877,               0.028705,               0.026206,               0.069717,                 0.3125,                0.10093,               0.048553,               0.084524,                  0.625,                0.21323,                0.14274,               0.079504,               0.020511,               0.021375,               0.021826,               0.073886,              0.0028856,              0.0028856
                      6,               0.090937,               0.029271,                0.02918,               0.022381,               0.064924,                 0.4375,                   0.24,               0.068232,                0.17935,                 0.8125,                0.32517,                0.13452,               0.081852,               0.017842,               0.019772,               0.015875,                0.06938,              0.0033798,              0.0033798
                      7,               0.082377,                0.02674,                0.03018,               0.020211,                0.10175,                0.23998,                0.19891,               0.064083,                 0.1062,                   0.25,                0.21743,               0.099681,               0.077898,               0.015068,               0.019611,               0.013826,               0.064873,               0.003873,               0.003873
                      8,               0.083437,                0.02102,               0.029777,               0.020772,               0.014689,                    0.5,               0.070889,               0.019879,               0.032343,                  0.875,                0.41511,                0.15572,               0.080835,               0.014151,               0.018642,                0.01666,               0.060365,              0.0043652,              0.0043652
                      9,               0.077607,               0.017788,               0.023623,                0.02003,                0.20464,                      1,                0.48284,                 0.1759,               0.038607,                  0.875,                0.41364,                0.28894,               0.075996,               0.016084,               0.018053,                0.02168,               0.055856,              0.0048563,              0.0048563
                     10,               0.075328,               0.018357,               0.028068,                0.01708,                0.23941,                 0.4375,                0.29051,                0.11122,                0.23941,                 0.4375,                0.26697,                0.17985,               0.071371,               0.013766,               0.017646,               0.017719,               0.051347,              0.0053465,              0.0053465
                     11,               0.071386,               0.016997,               0.024418,               0.016227,               0.044359,                   0.25,               0.074883,               0.020545,                0.50504,                0.55518,                0.58716,                0.43861,               0.070983,               0.012257,               0.016186,               0.014114,               0.046836,              0.0058357,              0.0058357
                     12,               0.081845,               0.018294,               0.023185,               0.016188,               0.040685,                  0.125,                0.10101,               0.037592,                0.42672,                0.65638,                0.55934,                  0.461,               0.073018,               0.013645,               0.016372,               0.015967,               0.042324,               0.006324,               0.006324
