                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12722,                0.12623,                0.02535,               0.035099,              0.0037576,                0.33333,              0.0065979,              0.0015541,               0.018578,               0.083333,              0.0097443,              0.0040212,                0.11211,               0.038274,               0.017017,               0.031342,                 0.0874,                 0.0014,                 0.0014
                      1,                 0.1054,               0.038916,               0.028042,               0.028381,                0.12938,                0.11111,                0.11272,                0.02956,                0.21621,                0.22222,                0.23815,                0.10388,               0.096839,               0.014997,               0.016012,               0.017569,               0.073871,              0.0028713,              0.0028713
                      2,               0.085625,               0.018183,               0.027713,               0.019788,                0.14143,                0.44444,                0.16092,               0.032978,                0.16125,                0.52778,                0.31167,                 0.1181,               0.082138,               0.011645,               0.015541,               0.012869,               0.060313,              0.0043129,              0.0043129
                      3,               0.075603,               0.014871,               0.024332,               0.017175,               0.062771,                0.72222,               0.056324,               0.013886,                0.58519,                0.22222,                0.17621,                0.06397,               0.078192,               0.011974,               0.014015,               0.010324,               0.046725,              0.0057248,              0.0057248
                      4,               0.076548,               0.017064,               0.022809,               0.016172,                0.75674,                0.41667,                0.37873,                0.17639,                0.75674,                0.41667,                0.39791,                0.25451,               0.072304,               0.012943,               0.011834,              0.0090317,               0.033107,               0.007107,               0.007107
                      5,               0.068465,               0.014905,               0.022125,               0.015257,                0.65875,                0.36111,                0.19048,               0.040366,                0.46951,                0.69444,                0.54697,                0.23015,               0.085053,               0.010951,               0.011976,              0.0084747,               0.019459,              0.0084594,              0.0084594
                      6,               0.070165,               0.013989,               0.021101,               0.013728,                0.85424,                0.33773,                0.43289,                0.16699,                0.96407,                 0.3589,                0.54109,                0.37886,               0.082704,               0.010168,                0.01088,               0.006884,               0.009406,               0.009406,               0.009406
                      7,               0.060226,               0.016555,               0.019939,               0.013909,                0.75144,                0.30556,                0.31249,               0.099527,                0.56056,                0.95473,                  0.812,                0.58139,               0.069392,              0.0089196,               0.010865,              0.0032661,               0.009406,               0.009406,               0.009406
                      8,               0.061529,               0.012579,               0.018299,               0.010761,                0.39724,                 0.7474,                0.64458,                0.22659,                0.59566,                0.87815,                0.87772,                0.46594,               0.068469,              0.0089316,               0.010732,              0.0031471,               0.009307,               0.009307,               0.009307
                      9,                0.05584,               0.012311,               0.017921,              0.0096564,                0.73591,                0.76146,                0.71316,                0.23016,                0.71861,                0.74939,                0.78122,                0.60138,               0.063059,              0.0090238,              0.0091305,                0.00299,               0.009208,               0.009208,               0.009208
