               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10377,            0.039485,            0.050511,          0.00046859,             0.11667,          0.00037869,          5.9577e-05,            0.069015,            0.032416,            0.033158,               0.091,               0.001,               0.001
                   1,            0.097063,            0.041629,            0.050023,           0.0039918,                0.75,               0.033,           0.0082447,            0.054517,            0.033168,             0.03169,            0.081098,           0.0020979,           0.0020979
                   2,             0.08004,            0.039527,            0.045772,           0.0044435,             0.88333,             0.10741,             0.03501,            0.048716,            0.031905,            0.030793,            0.071194,           0.0031937,           0.0031937
                   3,            0.068234,            0.039739,            0.043396,           0.0038634,             0.81667,              0.2003,             0.05642,            0.048583,            0.028204,            0.031404,            0.061287,           0.0042872,           0.0042872
                   4,            0.065799,             0.03858,             0.03946,             0.37643,             0.21667,             0.24629,             0.10173,             0.04586,            0.026682,            0.029633,            0.051379,           0.0053786,           0.0053786
                   5,            0.065615,            0.039773,            0.038558,             0.98418,                 0.2,             0.35153,            0.096588,            0.051521,             0.02817,            0.029313,            0.041468,           0.0064678,           0.0064678
                   6,            0.067896,            0.038717,            0.039751,             0.99137,                 0.2,             0.31812,             0.07901,            0.045498,            0.028908,            0.028703,            0.031555,           0.0075549,           0.0075549
                   7,            0.066421,            0.029893,            0.037391,             0.31807,             0.31667,             0.32168,             0.18516,            0.048933,            0.025499,            0.028467,             0.02164,           0.0086397,           0.0086397
                   8,            0.060954,            0.032355,            0.034602,             0.41823,             0.41667,             0.33161,             0.11644,            0.051049,             0.02713,            0.027132,            0.011722,           0.0097224,           0.0097224
                   9,            0.070145,            0.028168,             0.03437,             0.65236,                0.25,             0.36129,             0.15702,            0.042733,            0.024293,            0.025767,           0.0099109,           0.0099109,           0.0099109
                  10,            0.061171,            0.033235,            0.030728,             0.60255,             0.26667,             0.34631,             0.18792,            0.060316,              0.0196,            0.025002,           0.0099109,           0.0099109,           0.0099109
                  11,            0.060134,            0.026854,            0.028809,             0.39266,                0.55,             0.52463,             0.29043,            0.042338,            0.019139,            0.023597,            0.009901,            0.009901,            0.009901
                  12,            0.065086,            0.029618,            0.032476,             0.32709,             0.46027,             0.30757,              0.1739,            0.046358,            0.016169,            0.023452,           0.0098911,           0.0098911,           0.0098911
                  13,            0.065202,             0.02746,            0.032144,             0.44737,             0.43808,             0.46732,             0.16133,            0.043232,            0.016001,            0.022787,           0.0098812,           0.0098812,           0.0098812
                  14,            0.061776,            0.028402,            0.027767,             0.75226,             0.47964,             0.61685,             0.25813,            0.038792,            0.014912,            0.021838,           0.0098713,           0.0098713,           0.0098713
                  15,            0.055798,            0.025486,            0.027586,             0.78917,             0.48333,             0.76618,             0.44479,            0.035267,            0.014703,            0.020924,           0.0098614,           0.0098614,           0.0098614
                  16,            0.049749,            0.028438,            0.023447,             0.69075,             0.38333,             0.71291,             0.30372,            0.043412,             0.01375,            0.018752,           0.0098515,           0.0098515,           0.0098515
                  17,             0.06491,             0.02526,            0.022654,             0.47141,             0.58333,             0.71643,             0.25762,            0.044127,            0.011891,            0.017172,           0.0098416,           0.0098416,           0.0098416
                  18,            0.055157,            0.024864,            0.026247,             0.61177,                 0.6,             0.66837,             0.38073,            0.034594,             0.01314,            0.017893,           0.0098317,           0.0098317,           0.0098317
                  19,            0.052396,            0.026349,            0.022401,             0.75798,             0.53635,             0.72906,             0.37214,            0.030709,            0.013527,            0.016981,           0.0098218,           0.0098218,           0.0098218
                  20,            0.052364,            0.022305,            0.021508,             0.30382,             0.88333,             0.78325,             0.44827,            0.028718,            0.011743,            0.016172,           0.0098119,           0.0098119,           0.0098119
                  21,            0.048927,            0.022126,            0.020177,              0.7144,             0.67141,             0.78317,             0.43526,            0.033576,            0.011877,            0.015974,            0.009802,            0.009802,            0.009802
                  22,            0.048878,             0.02241,            0.019489,             0.71725,             0.69886,             0.65391,             0.41539,            0.035822,            0.010476,            0.016119,           0.0097921,           0.0097921,           0.0097921
                  23,            0.054257,            0.024293,            0.019942,             0.61459,             0.90696,              0.8447,             0.30818,            0.040796,            0.011052,            0.015557,           0.0097822,           0.0097822,           0.0097822
                  24,            0.056872,            0.028642,            0.022113,             0.51524,             0.88333,             0.76382,              0.3096,            0.033583,            0.010437,            0.014219,           0.0097723,           0.0097723,           0.0097723
                  25,            0.050895,             0.02141,            0.018846,             0.47026,             0.83371,             0.79394,             0.57918,            0.027254,             0.01068,            0.013011,           0.0097624,           0.0097624,           0.0097624
                  26,            0.043524,            0.022673,            0.020565,             0.61407,             0.81841,             0.75812,             0.43396,             0.03129,            0.011416,            0.013894,           0.0097525,           0.0097525,           0.0097525
                  27,            0.046822,            0.020541,            0.020796,              0.6914,             0.78333,             0.81411,             0.42847,            0.029886,             0.01027,            0.013566,           0.0097426,           0.0097426,           0.0097426
                  28,            0.046442,            0.019603,            0.017981,             0.73919,             0.67543,             0.78398,             0.40823,             0.03384,            0.013312,             0.01492,           0.0097327,           0.0097327,           0.0097327
                  29,            0.049997,            0.019431,            0.015748,             0.72649,             0.64537,             0.80762,              0.4363,            0.030216,            0.016057,            0.014402,           0.0097228,           0.0097228,           0.0097228
                  30,            0.047909,            0.020921,            0.016326,             0.50932,             0.78058,             0.72874,             0.41769,            0.036236,              0.0143,            0.011888,           0.0097129,           0.0097129,           0.0097129
                  31,            0.046608,            0.017901,            0.015261,             0.60634,             0.85428,             0.82719,             0.49482,            0.028125,            0.014187,            0.010332,            0.009703,            0.009703,            0.009703
                  32,            0.042333,            0.025388,            0.015522,             0.61478,                   1,             0.89474,             0.50324,             0.03049,            0.010833,           0.0081197,           0.0096931,           0.0096931,           0.0096931
                  33,            0.046043,            0.020369,            0.015093,             0.83556,                   1,               0.995,             0.47811,            0.029383,             0.01083,           0.0079993,           0.0096832,           0.0096832,           0.0096832
                  34,            0.048852,            0.019828,            0.013373,             0.65336,                   1,              0.8146,             0.45099,            0.034271,            0.010821,           0.0076261,           0.0096733,           0.0096733,           0.0096733
                  35,            0.047275,            0.018188,            0.012366,             0.87787,             0.90645,             0.94024,              0.5267,            0.028151,             0.01091,           0.0080764,           0.0096634,           0.0096634,           0.0096634
                  36,            0.040662,            0.017571,             0.01338,             0.64434,             0.95803,             0.90714,             0.66388,            0.025343,            0.010477,           0.0077836,           0.0096535,           0.0096535,           0.0096535
                  37,            0.041375,            0.018919,            0.012008,             0.85374,             0.94816,             0.97357,             0.70002,            0.021311,            0.010552,           0.0075988,           0.0096436,           0.0096436,           0.0096436
                  38,            0.044633,            0.015574,            0.011372,             0.83444,             0.91178,             0.95929,             0.61479,            0.022814,            0.010409,           0.0078278,           0.0096337,           0.0096337,           0.0096337
                  39,            0.042436,            0.017629,            0.010898,             0.78836,             0.89156,             0.86611,             0.51833,            0.030389,            0.011889,           0.0074914,           0.0096238,           0.0096238,           0.0096238
                  40,            0.043133,             0.01903,            0.010863,              0.7259,             0.91633,             0.92386,             0.56086,            0.030042,              0.0111,           0.0074376,           0.0096139,           0.0096139,           0.0096139
                  41,            0.047017,            0.024445,            0.011401,             0.87579,             0.86517,             0.95214,              0.5214,            0.029543,            0.011207,           0.0077455,            0.009604,            0.009604,            0.009604
                  42,            0.045865,            0.019496,            0.011511,             0.82143,             0.84805,             0.93707,             0.64103,             0.02493,            0.011474,           0.0068078,           0.0095941,           0.0095941,           0.0095941
                  43,            0.040854,            0.018989,            0.011055,             0.74713,                0.95,               0.952,             0.59865,            0.025049,            0.010771,           0.0066025,           0.0095842,           0.0095842,           0.0095842
                  44,            0.040332,            0.016522,           0.0098133,             0.75714,             0.89082,             0.86475,             0.46195,            0.027049,            0.015026,           0.0067471,           0.0095743,           0.0095743,           0.0095743
                  45,            0.040572,            0.020181,            0.010743,             0.89375,             0.94878,               0.985,             0.55754,            0.024963,            0.013757,           0.0059225,           0.0095644,           0.0095644,           0.0095644
                  46,            0.040554,            0.020209,           0.0099553,             0.74656,             0.93418,             0.95357,             0.52432,            0.024197,            0.012112,           0.0053719,           0.0095545,           0.0095545,           0.0095545
                  47,            0.039005,            0.020083,           0.0098426,              0.7791,             0.94054,             0.93418,             0.59106,            0.021559,            0.012754,           0.0057649,           0.0095446,           0.0095446,           0.0095446
                  48,            0.034416,             0.01884,           0.0078949,             0.76245,             0.85461,             0.85095,             0.57403,             0.02504,            0.012313,           0.0056165,           0.0095347,           0.0095347,           0.0095347
                  49,            0.044683,            0.017506,            0.011533,             0.82241,             0.86235,             0.91259,             0.58928,            0.023786,            0.013071,           0.0056136,           0.0095248,           0.0095248,           0.0095248
                  50,            0.037634,             0.01976,            0.010068,             0.92472,             0.91794,                0.97,             0.58644,            0.022823,            0.012679,            0.005346,           0.0095149,           0.0095149,           0.0095149
                  51,            0.036962,            0.018845,            0.014909,             0.90927,             0.88948,             0.95472,             0.62752,            0.023453,            0.012027,             0.00514,            0.009505,            0.009505,            0.009505
                  52,            0.039008,            0.016827,           0.0081834,             0.80229,                0.95,              0.9586,             0.55786,            0.024364,            0.010186,           0.0050616,           0.0094951,           0.0094951,           0.0094951
                  53,            0.038658,            0.017971,            0.009797,             0.96013,             0.94774,               0.995,              0.7366,             0.02019,           0.0098222,           0.0051403,           0.0094852,           0.0094852,           0.0094852
                  54,            0.036977,            0.019345,           0.0081914,             0.88585,             0.95722,               0.995,             0.68622,            0.021087,            0.010751,           0.0045892,           0.0094753,           0.0094753,           0.0094753
                  55,            0.038001,            0.015802,           0.0079827,             0.96769,              0.9588,               0.995,             0.68311,            0.021929,            0.010852,           0.0044385,           0.0094654,           0.0094654,           0.0094654
                  56,              0.0385,            0.018544,           0.0094762,             0.77445,             0.96904,             0.95333,             0.70612,             0.02276,            0.010414,           0.0035266,           0.0094555,           0.0094555,           0.0094555
                  57,            0.037256,            0.018536,           0.0071397,             0.90081,             0.95224,               0.995,             0.59086,            0.024084,            0.010335,            0.004195,           0.0094456,           0.0094456,           0.0094456
                  58,            0.033529,             0.01304,           0.0061143,             0.94237,             0.95502,               0.995,             0.72299,            0.019383,            0.011558,           0.0045522,           0.0094357,           0.0094357,           0.0094357
                  59,            0.032305,            0.015091,            0.007521,             0.85254,                0.95,             0.94533,             0.48807,            0.027244,            0.012141,           0.0038364,           0.0094258,           0.0094258,           0.0094258
                  60,            0.041262,            0.017849,           0.0082752,             0.90982,             0.90999,               0.962,             0.64425,            0.024008,            0.012219,           0.0046827,           0.0094159,           0.0094159,           0.0094159
                  61,            0.033568,            0.017163,           0.0055502,             0.88809,             0.98445,               0.995,             0.72138,            0.021187,            0.011391,           0.0041754,            0.009406,            0.009406,            0.009406
                  62,            0.036581,            0.017119,            0.006193,             0.89061,             0.93465,               0.995,              0.6307,             0.02342,            0.011343,           0.0040744,           0.0093961,           0.0093961,           0.0093961
                  63,            0.037278,            0.014895,           0.0066187,             0.80314,                0.95,             0.93333,             0.62125,            0.022072,            0.010133,           0.0035406,           0.0093862,           0.0093862,           0.0093862
                  64,            0.030909,            0.016835,           0.0051707,             0.91981,                0.95,               0.985,             0.61959,            0.021544,           0.0099457,           0.0032832,           0.0093763,           0.0093763,           0.0093763
                  65,            0.037905,            0.017324,           0.0076361,              0.7897,             0.95176,             0.97357,             0.61754,            0.023091,           0.0096347,           0.0038614,           0.0093664,           0.0093664,           0.0093664
                  66,            0.033853,            0.014955,           0.0056928,             0.94102,             0.94629,               0.985,             0.71637,             0.01928,            0.009867,           0.0039294,           0.0093565,           0.0093565,           0.0093565
                  67,            0.032075,            0.017724,           0.0070312,             0.88448,                0.95,               0.985,              0.6916,            0.023183,           0.0096631,           0.0038168,           0.0093466,           0.0093466,           0.0093466
                  68,            0.036636,            0.017482,           0.0060296,             0.87708,             0.95265,               0.995,              0.6612,             0.02355,           0.0095478,           0.0040378,           0.0093367,           0.0093367,           0.0093367
                  69,            0.032839,            0.017451,           0.0048279,             0.83074,                0.95,               0.985,             0.71457,            0.020706,           0.0090684,           0.0041606,           0.0093268,           0.0093268,           0.0093268
                  70,            0.032862,            0.016417,           0.0071587,             0.84585,             0.96117,               0.995,             0.67683,            0.019765,           0.0096202,           0.0036357,           0.0093169,           0.0093169,           0.0093169
                  71,            0.036028,            0.014224,           0.0055736,             0.75324,             0.93721,               0.975,             0.65523,            0.021847,           0.0090959,           0.0037323,            0.009307,            0.009307,            0.009307
                  72,            0.037315,            0.019479,            0.006083,             0.84786,             0.95019,               0.995,             0.59263,            0.024312,            0.010381,            0.004506,           0.0092971,           0.0092971,           0.0092971
                  73,            0.037175,            0.014667,           0.0059529,             0.92868,                0.95,               0.985,             0.72132,            0.018577,             0.01055,           0.0045836,           0.0092872,           0.0092872,           0.0092872
                  74,            0.032474,            0.013624,           0.0071374,             0.90228,                0.95,             0.96722,             0.71919,            0.018875,            0.010483,           0.0044258,           0.0092773,           0.0092773,           0.0092773
                  75,             0.03074,            0.018573,           0.0065744,             0.83894,             0.95185,               0.965,             0.61934,            0.024204,           0.0096151,            0.003484,           0.0092674,           0.0092674,           0.0092674
                  76,            0.037092,            0.015901,           0.0075523,             0.97386,             0.95992,               0.995,             0.77704,            0.018794,           0.0092426,           0.0031575,           0.0092575,           0.0092575,           0.0092575
                  77,             0.02778,            0.015133,           0.0047517,             0.95995,             0.95353,               0.995,             0.83928,             0.01518,           0.0090118,           0.0035125,           0.0092476,           0.0092476,           0.0092476
                  78,            0.030535,            0.014679,           0.0057103,              0.9503,             0.95844,               0.995,             0.71865,            0.019818,            0.010426,           0.0039351,           0.0092377,           0.0092377,           0.0092377
                  79,             0.03415,            0.014176,           0.0051738,             0.87255,             0.90988,               0.985,             0.69769,            0.019991,             0.01011,           0.0050146,           0.0092278,           0.0092278,           0.0092278
                  80,            0.030936,            0.014424,           0.0046796,             0.90557,                0.95,             0.95929,             0.71848,            0.018981,            0.010269,           0.0038543,           0.0092179,           0.0092179,           0.0092179
                  81,            0.033424,            0.018123,           0.0040949,             0.87554,                0.95,             0.95333,             0.70125,            0.020372,            0.010571,           0.0035426,            0.009208,            0.009208,            0.009208
