               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094617,            0.049971,            0.050934,             0.19683,             0.26578,             0.16719,            0.063948,            0.063594,            0.043249,            0.044804,              0.0705,           0.0032778,           0.0032778
                   1,            0.064392,            0.040782,            0.041777,              0.3141,             0.47498,             0.33003,             0.15254,            0.056043,            0.033908,            0.034374,            0.040493,           0.0066046,           0.0066046
                   2,            0.063954,            0.033826,            0.034857,             0.34537,             0.56015,             0.39455,             0.15105,            0.062486,            0.025729,            0.023943,             0.01048,           0.0099248,           0.0099248
                   3,            0.064842,            0.030083,            0.027122,             0.35044,             0.75213,              0.5416,             0.21977,            0.054977,            0.023885,            0.016478,           0.0099703,           0.0099703,           0.0099703
                   4,            0.053807,            0.028913,            0.021756,             0.39467,               0.764,             0.59713,             0.30299,            0.047283,            0.022659,            0.014128,           0.0099703,           0.0099703,           0.0099703
                   5,            0.047976,            0.026355,            0.018209,             0.53871,             0.82656,             0.73072,             0.36419,            0.046182,            0.020397,            0.012598,           0.0099604,           0.0099604,           0.0099604
                   6,            0.046582,            0.024191,            0.014521,             0.57017,              0.8675,             0.83158,             0.44807,            0.041026,            0.018455,           0.0089305,           0.0099505,           0.0099505,           0.0099505
                   7,            0.042494,            0.024368,            0.011565,             0.64675,             0.91616,             0.81525,             0.38537,            0.048077,            0.018704,           0.0067937,           0.0099406,           0.0099406,           0.0099406
                   8,            0.041783,            0.024268,           0.0099917,             0.92248,             0.90991,             0.94252,             0.59015,            0.031127,            0.017303,           0.0057403,           0.0099307,           0.0099307,           0.0099307
                   9,             0.03778,            0.022841,           0.0076551,             0.87263,              0.9267,             0.95689,             0.60391,             0.03152,            0.017418,           0.0043983,           0.0099208,           0.0099208,           0.0099208
                  10,            0.038283,            0.022497,           0.0077788,             0.96181,             0.94498,              0.9594,             0.60529,            0.031294,            0.016635,            0.004356,           0.0099109,           0.0099109,           0.0099109
                  11,            0.035034,            0.020765,           0.0073144,             0.87354,              0.9389,             0.93472,             0.54371,            0.034999,            0.017221,           0.0037388,            0.009901,            0.009901,            0.009901
                  12,            0.034674,             0.02114,           0.0064682,             0.97971,             0.94857,             0.96748,             0.68372,            0.027146,            0.016248,           0.0037348,           0.0098911,           0.0098911,           0.0098911
                  13,            0.033626,            0.020908,           0.0058243,             0.95439,             0.96078,             0.96898,             0.69435,              0.0265,            0.016152,            0.003557,           0.0098812,           0.0098812,           0.0098812
                  14,            0.032693,            0.020524,           0.0057757,             0.84033,             0.89472,             0.91907,             0.61126,             0.03127,            0.016717,           0.0033866,           0.0098713,           0.0098713,           0.0098713
                  15,            0.031152,            0.020534,           0.0057988,             0.93267,             0.96723,             0.96986,             0.66043,            0.028493,            0.016527,           0.0034974,           0.0098614,           0.0098614,           0.0098614
                  16,            0.030757,            0.020877,           0.0053774,             0.94475,             0.93924,             0.96493,             0.67293,            0.025817,            0.016068,           0.0030537,           0.0098515,           0.0098515,           0.0098515
                  17,             0.03001,            0.019841,           0.0051501,             0.94182,             0.96435,             0.97128,             0.70644,            0.027507,            0.015596,           0.0029344,           0.0098416,           0.0098416,           0.0098416
                  18,            0.029523,            0.020258,           0.0053122,             0.96605,             0.96841,             0.97076,             0.68432,             0.02492,            0.015614,           0.0032097,           0.0098317,           0.0098317,           0.0098317
                  19,            0.029683,            0.019055,           0.0047003,             0.97721,             0.96509,             0.97813,             0.68348,            0.027079,            0.015767,           0.0029133,           0.0098218,           0.0098218,           0.0098218
                  20,            0.029942,            0.020515,           0.0051099,             0.94403,             0.94192,             0.95479,             0.68377,            0.023986,            0.016778,           0.0032343,           0.0098119,           0.0098119,           0.0098119
                  21,            0.027711,            0.018759,           0.0058849,             0.97305,             0.95816,             0.96925,             0.73739,            0.024785,            0.014781,           0.0028287,            0.009802,            0.009802,            0.009802
                  22,            0.029702,            0.019869,           0.0052187,             0.95118,             0.94703,              0.9588,             0.65699,            0.029108,            0.016442,           0.0034404,           0.0097921,           0.0097921,           0.0097921
                  23,             0.02642,            0.018694,           0.0055416,             0.97061,             0.97459,              0.9704,             0.75297,            0.023036,            0.015195,           0.0031067,           0.0097822,           0.0097822,           0.0097822
                  24,            0.026775,            0.018455,           0.0050964,             0.96603,             0.94781,             0.96458,             0.71534,            0.024388,            0.015636,           0.0034097,           0.0097723,           0.0097723,           0.0097723
                  25,            0.028254,            0.019306,           0.0049244,             0.95795,             0.97007,             0.96465,             0.73552,            0.024322,            0.015987,           0.0026841,           0.0097624,           0.0097624,           0.0097624
                  26,            0.027501,            0.019825,           0.0042745,             0.97999,             0.97061,             0.97235,             0.72039,            0.025157,            0.015259,           0.0022945,           0.0097525,           0.0097525,           0.0097525
                  27,            0.025778,            0.019144,           0.0041769,             0.98158,             0.96645,             0.97028,             0.75957,            0.022009,             0.01451,           0.0023854,           0.0097426,           0.0097426,           0.0097426
                  28,            0.026889,            0.019264,           0.0047304,             0.97846,             0.96332,             0.97047,             0.71643,            0.023518,            0.015212,           0.0027413,           0.0097327,           0.0097327,           0.0097327
                  29,            0.025514,            0.018585,           0.0047372,             0.97004,             0.96165,             0.97107,             0.70893,            0.023748,            0.014686,           0.0033513,           0.0097228,           0.0097228,           0.0097228
