               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095129,            0.048371,            0.050987,             0.21159,             0.17595,             0.11452,            0.033787,            0.061836,            0.045585,            0.053406,            0.070556,           0.0032716,           0.0032716
                   1,            0.068423,            0.043899,            0.041824,             0.32283,             0.58736,             0.41551,             0.17551,             0.05266,            0.034499,            0.040543,            0.040549,           0.0065984,           0.0065984
                   2,             0.06478,            0.033897,              0.0355,             0.28226,             0.44899,             0.29106,             0.10256,            0.060292,            0.026026,             0.03295,            0.010536,           0.0099186,           0.0099186
                   3,            0.062057,            0.031924,            0.028849,             0.57531,             0.57256,             0.49185,             0.21852,            0.059766,             0.02452,            0.025765,           0.0099703,           0.0099703,           0.0099703
                   4,             0.05761,            0.028632,            0.023136,             0.43104,             0.72154,             0.62653,             0.27254,            0.048474,            0.022529,            0.018211,           0.0099703,           0.0099703,           0.0099703
                   5,            0.051347,            0.025913,            0.019583,             0.67804,             0.70207,              0.7048,             0.39423,            0.041386,            0.021702,            0.020334,           0.0099604,           0.0099604,           0.0099604
                   6,            0.046732,            0.025034,            0.016666,             0.55372,             0.77415,             0.76224,             0.43445,            0.039365,            0.020213,             0.01333,           0.0099505,           0.0099505,           0.0099505
                   7,            0.045553,            0.024049,            0.014935,             0.76439,             0.70871,             0.84759,             0.39787,            0.042549,             0.01881,            0.010315,           0.0099406,           0.0099406,           0.0099406
                   8,            0.041419,            0.025167,            0.011951,             0.77879,             0.92938,             0.90521,             0.55033,            0.034491,            0.019191,           0.0080498,           0.0099307,           0.0099307,           0.0099307
                   9,            0.040308,            0.023305,           0.0092969,             0.79325,             0.85498,              0.8757,             0.43538,            0.039992,            0.018821,           0.0057883,           0.0099208,           0.0099208,           0.0099208
                  10,            0.041305,            0.022224,           0.0081735,             0.73359,             0.84835,             0.84634,              0.5374,             0.03706,            0.018778,            0.006226,           0.0099109,           0.0099109,           0.0099109
                  11,            0.037115,            0.021408,           0.0088355,              0.9022,             0.90774,             0.93889,             0.61176,             0.03065,            0.019709,           0.0070124,            0.009901,            0.009901,            0.009901
                  12,            0.035111,            0.021602,           0.0077341,             0.89629,             0.93951,              0.9572,             0.67091,             0.02818,            0.017394,           0.0050019,           0.0098911,           0.0098911,           0.0098911
                  13,            0.034766,            0.021014,           0.0073805,             0.95748,             0.93077,             0.95868,             0.69788,            0.026645,            0.017173,            0.004547,           0.0098812,           0.0098812,           0.0098812
                  14,            0.034315,              0.0198,           0.0060005,             0.90837,             0.94053,             0.95445,             0.65674,            0.030267,             0.01739,           0.0043877,           0.0098713,           0.0098713,           0.0098713
                  15,            0.035502,            0.020729,           0.0055673,             0.94996,             0.94034,             0.97206,              0.6284,            0.026495,            0.016766,           0.0044989,           0.0098614,           0.0098614,           0.0098614
                  16,            0.031682,            0.019159,           0.0061777,             0.93844,             0.92277,             0.94945,             0.68193,            0.026551,            0.018432,            0.004927,           0.0098515,           0.0098515,           0.0098515
                  17,            0.032947,            0.020025,           0.0061442,             0.94516,             0.96154,             0.96813,             0.71216,            0.026604,            0.016818,           0.0039311,           0.0098416,           0.0098416,           0.0098416
                  18,            0.031482,            0.019855,           0.0053077,             0.97031,             0.95023,             0.96944,             0.67119,            0.025342,            0.017119,            0.004353,           0.0098317,           0.0098317,           0.0098317
                  19,            0.031085,            0.020164,            0.005968,             0.94425,             0.96894,             0.97178,             0.72542,            0.024972,            0.016419,           0.0038124,           0.0098218,           0.0098218,           0.0098218
                  20,             0.03039,            0.020793,           0.0054137,             0.94202,             0.95223,             0.97634,             0.72997,             0.02296,            0.015449,           0.0041115,           0.0098119,           0.0098119,           0.0098119
