               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11836,            0.042977,            0.057155,           0.0042793,                 0.5,            0.017372,           0.0047738,            0.080125,            0.035919,            0.034809,               0.091,               0.001,               0.001
                   1,             0.11398,            0.039127,            0.055182,           0.0037756,             0.66667,           0.0087237,           0.0019355,            0.072747,            0.031358,            0.033115,            0.081098,           0.0020979,           0.0020979
                   2,             0.10308,            0.034296,            0.053867,           0.0040913,             0.71667,            0.031073,            0.007397,            0.055168,             0.03108,            0.032459,            0.071194,           0.0031937,           0.0031937
                   3,            0.083635,            0.035542,            0.043208,             0.23216,            0.066667,            0.088184,             0.03336,            0.049366,            0.028571,            0.031319,            0.061287,           0.0042872,           0.0042872
                   4,            0.076931,            0.035867,            0.040279,             0.15054,             0.26667,             0.28065,             0.10432,            0.047321,            0.025454,            0.030037,            0.051379,           0.0053786,           0.0053786
                   5,            0.073543,            0.039347,            0.039044,             0.94783,             0.13333,             0.29108,            0.061273,            0.047609,             0.02546,            0.028602,            0.041468,           0.0064678,           0.0064678
                   6,            0.071992,            0.041005,            0.039869,             0.69869,                 0.2,             0.21054,            0.080614,            0.046046,            0.027218,            0.027235,            0.031555,           0.0075549,           0.0075549
                   7,            0.069266,            0.030567,            0.036434,             0.48149,                0.15,             0.13784,             0.02289,             0.05261,            0.028559,            0.025891,             0.02164,           0.0086397,           0.0086397
                   8,             0.06708,            0.033513,            0.033635,              0.2572,                0.35,            0.093713,            0.044089,            0.057653,            0.027373,            0.024494,            0.011722,           0.0097224,           0.0097224
                   9,            0.074296,            0.028369,            0.032375,             0.31697,             0.53333,              0.2371,            0.095178,            0.047844,            0.028994,             0.02468,           0.0099109,           0.0099109,           0.0099109
                  10,            0.063336,            0.034268,            0.029398,             0.48808,                0.35,             0.39828,              0.1449,            0.049151,            0.025093,            0.024571,           0.0099109,           0.0099109,           0.0099109
                  11,            0.061839,            0.027418,            0.030195,             0.62337,             0.26015,             0.22997,            0.070452,             0.04901,            0.026435,            0.024589,            0.009901,            0.009901,            0.009901
                  12,            0.070265,            0.028672,            0.031751,             0.57383,             0.27464,             0.19659,            0.066602,            0.045668,            0.025268,            0.024713,           0.0098911,           0.0098911,           0.0098911
                  13,            0.067055,            0.029589,            0.032828,             0.60162,             0.31376,             0.29172,             0.14688,            0.042617,            0.024884,            0.024406,           0.0098812,           0.0098812,           0.0098812
