               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12053,            0.048229,                   0,           0.0033333,                0.25,           0.0038405,          0.00062046,             0.12198,            0.033799,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.11946,            0.046635,                   0,              0.0025,              0.1875,           0.0018739,           0.0004427,             0.11237,            0.031143,                   0,            0.091896,          0.00089554,          0.00089554
                   2,             0.11034,            0.040219,                   0,          0.00066667,              0.0625,          0.00036549,           0.0001462,             0.09363,            0.030071,                   0,            0.087386,           0.0013861,           0.0013861
                   3,             0.10962,            0.041395,                   0,           0.0016667,              0.1875,           0.0012883,          0.00025905,            0.089847,            0.027758,                   0,            0.082872,           0.0018718,           0.0018718
                   4,             0.10314,            0.042845,                   0,           0.0027778,              0.3125,           0.0019353,          0.00036819,            0.086279,            0.026598,                   0,            0.078352,           0.0023525,           0.0023525
                   5,            0.094982,            0.042826,                   0,           0.0019048,                0.25,           0.0018075,          0.00034051,            0.088045,            0.025415,                   0,            0.073828,           0.0028282,           0.0028282
                   6,            0.093131,            0.041795,                   0,           0.0038095,                 0.5,           0.0080929,           0.0011517,            0.090338,            0.023355,                   0,            0.069299,            0.003299,            0.003299
                   7,            0.093313,            0.044439,                   0,           0.0047286,              0.4375,            0.012718,             0.00301,            0.088681,            0.023035,                   0,            0.064765,           0.0037649,           0.0037649
                   8,            0.089632,             0.03593,                   0,           0.0038095,                 0.5,            0.014211,           0.0028941,            0.087235,            0.022646,                   0,            0.060226,           0.0042258,           0.0042258
                   9,            0.088201,            0.044624,                   0,           0.0057143,                0.75,            0.018237,           0.0042703,            0.082385,            0.021828,                   0,            0.055682,           0.0046817,           0.0046817
                  10,            0.084846,            0.047152,                   0,            0.030674,               0.125,            0.081552,            0.018009,            0.077988,            0.021402,                   0,            0.051133,           0.0051327,           0.0051327
                  11,            0.082369,            0.039009,                   0,            0.082158,               0.125,             0.11773,            0.051192,            0.073234,            0.021254,                   0,            0.046579,           0.0055787,           0.0055787
                  12,            0.081162,            0.042381,                   0,             0.10504,               0.125,             0.14075,            0.042861,            0.064422,            0.021585,                   0,             0.04202,           0.0060198,           0.0060198
